,dates,confirmed in USA
0,2020-03-01,76
1,2020-03-02,101
2,2020-03-03,122
3,2020-03-04,153
4,2020-03-05,221
5,2020-03-06,278
6,2020-03-07,417
7,2020-03-08,537
8,2020-03-09,605
9,2020-03-10,959
10,2020-03-11,1281
11,2020-03-12,1663
12,2020-03-13,2179
13,2020-03-14,2726
14,2020-03-15,3499
15,2020-03-16,4632
16,2020-03-17,6421
17,2020-03-18,7786
18,2020-03-19,13680
19,2020-03-20,19101
20,2020-03-21,25493
21,2020-03-22,33848
22,2020-03-23,43663
23,2020-03-24,53736
24,2020-03-25,65778
25,2020-03-26,83836
26,2020-03-27,101657
27,2020-03-28,121465
28,2020-03-29,140909
29,2020-03-30,161831
30,2020-03-31,188172
31,2020-04-01,213372
32,2020-04-02,243599
33,2020-04-03,275586
34,2020-04-04,308853
35,2020-04-05,337072
36,2020-04-06,366667
37,2020-04-07,396223
38,2020-04-08,429052
39,2020-04-09,461437
40,2020-04-10,496535
41,2020-04-11,526396
42,2020-04-12,555313
43,2020-04-13,580619
44,2020-04-14,607670
45,2020-04-15,636350
46,2020-04-16,667801
47,2020-04-17,699706
48,2020-04-18,732197
49,2020-04-19,759086
50,2020-04-20,784326
51,2020-04-21,823786
52,2020-04-22,839675
53,2020-04-23,869170
54,2020-04-24,905333
55,2020-04-25,938154
56,2020-04-26,965783
57,2020-04-27,988197
58,2020-04-28,1012582
59,2020-04-29,1039909
60,2020-04-30,1069424
61,2020-05-01,1103461
62,2020-05-02,1132539
63,2020-05-03,1158040
64,2020-05-04,1180375
65,2020-05-05,1204351
66,2020-05-06,1228603
67,2020-05-07,1257023
68,2020-05-08,1283929
69,2020-05-09,1309550
70,2020-05-10,1329260
71,2020-05-11,1347881
72,2020-05-12,1369574
73,2020-05-13,1390406
74,2020-05-14,1417774
75,2020-05-15,1442824
76,2020-05-16,1467820
77,2020-05-17,1486757
78,2020-05-18,1508308
79,2020-05-19,1528568
80,2020-05-20,1551853
81,2020-05-21,1577147
82,2020-05-22,1600937
83,2020-05-23,1622612
84,2020-05-24,1643246
85,2020-05-25,1662302
86,2020-05-26,1680913
87,2020-05-27,1699176
88,2020-05-28,1721753
89,2020-05-29,1746019
90,2020-05-30,1770165
